year,index,index_rank,badyear_rank,badyear_need,gap
2024,,,,,
2023,,,,,
2022,,,,,
2021,0.0086991731799338,11,,,
2020,0.0498510878625606,3,,,
2019,,,,,
2018,,,,,
2017,,,,,
2016,,,,,
2015,0.0165638617494108,8,,,
2014,,,,,
2013,,,,,
2012,,,,,
2011,,,,,
2010,0.0402708105917584,5,,,
2009,0.0237079789775754,7,,,
2008,0.0157273091681868,9,,,
2007,,,,,
2006,,,,,
2005,,,,,
2004,,,,,
2003,,,,,
2002,,,,,
2001,,,,,
2000,0.0011936484062824,12,,,
1999,0.0343428316452862,6,,,
1998,,,,,
1997,,,,,
1996,0.047057725293039,4,,,
1995,0.0973431053184459,2,,,
1994,0.013882691488176,10,,,
1993,0.3577712609970674,1,,,
"Average (including zeros, at badyear frequency)",0.0,fraction covered:,,0.0,0.0
