year,index,index_rank,badyear_rank,badyear_need,gap
2024,,,,,
2023,,,,,
2022,,,,,
2021,0.0086991731799338,,,,
2020,0.0498510878625606,,,,
2019,,,,,
2018,,,,,
2017,,,,,
2016,,,,,
2015,0.0165638617494108,,,,
2014,,,,,
2013,,,,,
2012,,,,,
2011,,,,,
2010,0.0402708105917584,,,,
2009,0.0237079789775754,,,,
2008,0.0157273091681868,,,,
2007,,,,,
2006,,,,,
2005,,,,,
2004,,,,,
2003,,,,,
2002,,,,,
2001,,,,,
2000,0.0011936484062824,,,,
1999,0.0343428316452862,,,,
1998,,,,,
1997,,,,,
1996,0.047057725293039,,,,
1995,0.0973431053184459,,,,
1994,0.013882691488176,,,,
1993,0.3577712609970674,,,,

STUDENT EXERCISE INSTRUCTIONS
Step 1: Calculate 'index_rank'
 - Assign a rank to every positive payout in the 'index' column (largest is 1).
" - If payouts are tied, give them the same number, then skip a number for the next rank."
" - (e.g., if there is a tie for 2nd place, ranks would be 1, 2, 2, 4)."
Step 2: Calculate 'badyear_need'
" - For each row with a 'badyear_rank', find the row where 'index_rank' matches that number."
 - Copy the 'index' (payout) value from that rank into the 'badyear_need' cell.
Step 3: Calculate 'gap'
 - Subtract 'index' from 'badyear_need' (Gap = Need - Index).
" - If the result is negative or zero, leave the cell blank."
