year,Chadiza,Chasefu,Chibombo,Chikankanta,Chilanga,Chipangali,Chipata,Chirundu,Chisamba,Chitambo,Choma,Chongwe,Gwembe,Itezhi tezhi,Kabwe,Kafue,Kalabo,Kalomo,Kaoma,Kapiri Mposhi,Kasenengwa,Katete,Kazungula,Lavushimanda,Limulunga,Livingstone,Luampa,Luangwa,Luano,Lukulu,Lumezi,Lundazi,Lusaka,Lusangazi,Mambwe,Mazabuka,Mitete,Mkushi,Mongu,Monze,Mpongwe,Mulobezi,Mumbwa,Mwandi,Nalolo,Namwala,Ngabwe,Nkeyema,Nyimba,Pemba,Petauke,Rufunsa,Senanga,Serenje,Sesheke,Shangombo,Shibuyunji,Siavonga,Sikongo,Sinazongwe,Sinda,Sioma,Vubwi,Zimba,Average
1984,,,,,6.0,,,,,,,,,,4.0,,,,,,,,,2.0,3.0,,7.0,,,,,,,,,,,,,3.0,5.0,3.0,,6.0,,,,6.0,,,,,6.0,,,,,,,,,,,,
1985,,,,,,,,5.0,,,2.0,7.0,5.0,,,,,6.0,,,,6.0,7.0,,,7.0,4.0,,,,,,,,,8.0,,7.0,,,,7.0,,7.0,,,,,,,,,7.0,,7.0,,,6.0,3.0,3.0,4.0,,,,
1986,,5.0,8.0,,,,,,,8.0,,,,6.0,,7.0,,,6.0,,,3.0,,,5.0,5.0,,,,,,,8.0,,2.0,,4.0,,,,1.0,2.0,,,,3.0,,1.0,,,,,8.0,,,,,,,6.0,,,4.0,,
1987,,6.0,,,,,1.0,,7.0,5.0,1.0,5.0,2.0,,6.0,,8.0,7.0,2.0,,,,,,2.0,,1.0,7.0,,,,8.0,2.0,,,4.0,5.0,,,,7.0,6.0,,2.0,7.0,,,,3.0,,,1.0,5.0,,8.0,6.0,4.0,,,4.0,6.0,,,4.0,4.0
1988,,,1.0,,,5.0,,,,,,,1.0,,,,,,,,,,6.0,,,,,,,,,7.0,3.0,,3.0,6.0,,,,1.0,2.0,1.0,,,4.0,,,,,,,,,,4.0,3.0,,,,,,,,,
1989,,7.0,3.0,,,,,,,,,8.0,,,,5.0,,,,,,,4.0,7.0,,,,4.0,,,,2.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,2.0,,,,,1.0,
1990,,,,,,6.0,8.0,,,,,4.0,,,5.0,,,2.0,,,6.0,,5.0,,,,,,8.0,,,6.0,,,,,,,,,,5.0,,,,,,5.0,,,,5.0,,3.0,,,,,,,,,,,
1991,,,,,7.0,2.0,,,,,8.0,3.0,,2.0,3.0,6.0,,1.0,4.0,8.0,,7.0,3.0,,,6.0,6.0,,1.0,4.0,,1.0,6.0,2.0,5.0,5.0,7.0,,,,6.0,,1.0,,,1.0,,7.0,,3.0,8.0,7.0,1.0,8.0,,,6.0,,,,8.0,,8.0,6.0,1.0
1992,8.0,,6.0,8.0,,4.0,7.0,1.0,,,,1.0,,,1.0,2.0,,4.0,,6.0,8.0,8.0,,6.0,,,3.0,5.0,3.0,,,,5.0,,,,,5.0,,6.0,4.0,4.0,2.0,,,6.0,,4.0,4.0,,6.0,,4.0,7.0,,2.0,7.0,1.0,,2.0,,,7.0,,3.0
1993,,4.0,,,,3.0,,,,7.0,,2.0,,1.0,,1.0,1.0,,,,7.0,,1.0,,,,,6.0,4.0,8.0,1.0,,7.0,,7.0,,,,6.0,,3.0,,,,,,5.0,3.0,7.0,5.0,5.0,,3.0,2.0,,,,4.0,,,,,6.0,,5.0
1994,7.0,,,,3.0,,,,,,6.0,6.0,6.0,,2.0,,4.0,,,1.0,,,,4.0,1.0,,,,7.0,6.0,,,,5.0,,1.0,3.0,3.0,5.0,7.0,,,,,,,4.0,2.0,2.0,,4.0,8.0,,6.0,,4.0,2.0,5.0,,,5.0,,,,6.0
1995,1.0,,,,8.0,,,7.0,,6.0,7.0,,7.0,8.0,,4.0,,5.0,3.0,5.0,,,,,7.0,8.0,5.0,,5.0,5.0,,,,3.0,,,2.0,4.0,2.0,4.0,,,3.0,4.0,6.0,7.0,,,1.0,1.0,1.0,6.0,2.0,4.0,6.0,,5.0,8.0,6.0,7.0,2.0,,,,2.0
1996,,3.0,,,,,,,,4.0,,,,,,,2.0,,5.0,7.0,,2.0,,,6.0,,,,6.0,,,4.0,4.0,1.0,,,6.0,,,,,,4.0,,,,,,,,3.0,,,,,,,,,,7.0,,1.0,,
1997,,2.0,,,,,2.0,6.0,1.0,,,,,,,,,,,,,,,3.0,,,,,2.0,,,,,4.0,,,,,,2.0,,,,,,,,,,,2.0,,,1.0,,7.0,,,,,,8.0,,,
1998,,,,,,,,4.0,5.0,,,,,,,,3.0,,1.0,,5.0,5.0,2.0,1.0,,,,,,,,,,,,7.0,,2.0,,,,,,1.0,,,,,,,,,,,5.0,5.0,,,,,,,,5.0,
1999,,,,,,,,,6.0,,,,,5.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,5.0,,,,,,,7.0,,,,,,,,,,,6.0,,,
2000,6.0,8.0,,,,,,3.0,,,,,,,,3.0,,,,,,,,5.0,,,,,,,,,,8.0,,,,,,,,,,,,,3.0,,,,,,,,,,,7.0,,,,2.0,,,
2001,,,,5.0,,1.0,,,3.0,2.0,,,,,8.0,,,,,,2.0,,,,,,,,,,,3.0,,,,,,,3.0,,,,5.0,,,,,,,6.0,,4.0,,,,,,,4.0,,3.0,,3.0,,
2002,,,2.0,,1.0,7.0,4.0,,,,,,4.0,,,,5.0,,,,3.0,,,,,,,,,,,5.0,1.0,,,3.0,,,,,,,6.0,,,,,,,,,,,,,1.0,,3.0,,,,3.0,5.0,,
2003,,,,,2.0,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,5.0,,,,,
2004,,,,1.0,,,,,8.0,,,,,,,,,,,,,,,,,4.0,,3.0,,,,,,,6.0,,,,4.0,,,,,,,2.0,2.0,,6.0,4.0,,,,5.0,,,1.0,,,,,,,,
2005,,1.0,,,,,,,,,3.0,,,,,,,,,,4.0,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,1.0,,,,1.0,,1.0,5.0,,,
2006,,,,,,,,,,3.0,,,,,,,6.0,,,,,,,,,,,2.0,,,3.0,,,,,,,,,,,,7.0,,,,,,5.0,,,,,,,,,2.0,,,,,,,
2007,,,,4.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
2010,,,,2.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,
2011,2.0,,,,5.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2012,5.0,,,,,,,,,,4.0,,,,,,,,,4.0,,,,,,,,,,7.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,2.0,5.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,4.0,6.0,,,,,,,,,,7.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
2016,4.0,,7.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,1.0,,,,,,,,,3.0,5.0,,,,,7.0,,,,,,,,,,,,,,,
2017,3.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,7.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,1.0,,,
2018,,,,7.0,4.0,,,,,,5.0,,3.0,,7.0,,7.0,,,,1.0,4.0,,,,,,1.0,,3.0,,,,6.0,,,,,8.0,5.0,,,,,,4.0,1.0,,,2.0,,,,,,,,,5.0,,,,,3.0,8.0
2019,,,,3.0,,,,2.0,4.0,,,,,,,,,3.0,,3.0,,,,,4.0,1.0,,,,1.0,,,,,4.0,2.0,1.0,,,,,,,,,5.0,,,,,,,,,2.0,8.0,3.0,,,1.0,,7.0,,7.0,7.0
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
