year,index,index_rank,badyear_rank,badyear_need,gap
2020,,,,,
2019,,,,,
2018,,,,,
2017,0.0010622823529411,,,,
2016,0.0486494709661847,,,,
2015,0.1609999849624059,,3,,
2014,,,,,
2013,,,,,
2012,0.0803974473859698,,,,
2011,0.1395686390977441,,,,
2010,,,,,
2009,0.0052542117647058,,8,,
2008,,,,,
2007,0.0141941544939021,,,,
2006,0.0998087819548873,,,,
2005,,,,,
2004,0.3273592636284343,,,,
2003,,,,,
2002,0.0312325037593985,,7,,
2001,,,,,
2000,,,,,
1999,,,,,
1998,0.0094261411764705,,,,
1997,,,2,,
1996,0.0047933458646614,,,,
1995,,,,,
1994,,,6,,
1993,0.0547732352941177,,,,
1992,0.0445367176470587,,,,
1991,,,5,,
1990,0.0535157529411764,,,,
1989,,,,,
1988,,,,,
1987,0.1792043103051745,,4,,
1986,,,,,
1985,0.0967386212295444,,,,
1984,,,1,,
1983,0.0923944705882353,,,,
1982,0.0984708,,,,
1981,0.0582370705882353,,,,

STUDENT EXERCISE INSTRUCTIONS
Step 1: Calculate 'index_rank'
 - Assign a rank to every positive payout in the 'index' column (largest is 1).
" - If payouts are tied, give them the same number, then skip a number for the next rank."
" - (e.g., if there is a tie for 2nd place, ranks would be 1, 2, 2, 4)."
Step 2: Calculate 'badyear_need'
" - For each row with a 'badyear_rank', find the row where 'index_rank' matches that number."
 - Copy the 'index' (payout) value from that rank into the 'badyear_need' cell.
Step 3: Calculate 'gap'
 - Subtract 'index' from 'badyear_need' (Gap = Need - Index).
" - If the result is negative or zero, leave the cell blank."
