year,index,index_rank,badyear_rank,badyear_need,gap
2020,,,,,
2019,,,,,
2018,,,,,
2017,,,,,
2016,0.0926939991188133,12,,,
2015,0.1153169703647053,8,3,0.2985305785123967,0.18321360814769144
2014,,,,,
2013,,,,,
2012,0.0959679477677775,11,,,
2011,0.0792944554455444,13,,,
2010,,,,,
2009,0.2258760094918585,4,8,0.1153169703647053,
2008,0.0369934030766711,16,,,
2007,0.0050211569684768,20,,,
2006,0.018370396039604,18,,,
2005,,,,,
2004,0.33398750395636,2,,,
2003,0.0259929338842975,17,,,
2002,0.1073955371900828,9,7,0.138370396039604,0.030974858849521197
2001,,,,,
2000,,,,,
1999,0.2985305785123967,3,,,
1998,0.0128117227722772,19,,,
1997,0.3933518019801981,1,2,0.33398750395636,
1996,,,,,
1995,,,,,
1994,0.0973443057851241,10,6,0.1415140330578512,0.04416972727272711
1993,,,,,
1992,0.0656040082644627,15,,,
1991,0.0024791570247934,21,5,0.1713631818181818,0.1688840247933884
1990,0.1415140330578512,6,,,
1989,,,,,
1988,,,,,
1987,0.138370396039604,7,4,0.2258760094918585,0.0875056134522545
1986,,,,,
1985,0.0684980495049504,14,,,
1984,,,1,0.3933518019801981,0.3933518019801981
1983,,,,,
1982,,,,,
1981,0.1713631818181818,5,,,
"Average (including zeros, at badyear frequency)",0.04545776188052889,fraction covered:,0.5005805406332869,0.04545776188052889,0.022702490862394516
