year,index,badyear_rank
2020,0.0,
2019,0.0,
2018,0.0,
2017,0.0,
2016,0.0926939991188133,
2015,0.1153169703647053,3
2014,0.0,
2013,0.0,
2012,0.0959679477677775,
2011,0.0792944554455444,
2010,0.0,
2009,0.2258760094918585,8
2008,0.0369934030766711,
2007,0.0050211569684768,
2006,0.018370396039604,
2005,0.0,
2004,0.33398750395636,
2003,0.0259929338842975,
2002,0.1073955371900828,7
2001,0.0,
2000,0.0,
1999,0.2985305785123967,
1998,0.0128117227722772,
1997,0.3933518019801981,2
1996,0.0,
1995,0.0,
1994,0.0973443057851241,6
1993,0.0,
1992,0.0656040082644627,
1991,0.0024791570247934,5
1990,0.1415140330578512,
1989,0.0,
1988,0.0,
1987,0.138370396039604,4
1986,0.0,
1985,0.0684980495049504,
1984,0.0,1
1983,0.0,
1982,0.0,
1981,0.1713631818181818,
