year,index,badyear_rank
2020,0.0,
2019,0.0,
2018,0.0,
2017,0.0,
2016,0.0926939991188133,
2015,0.1153169703647053,3
2014,0.0,
2013,0.0,
2012,0.0959679477677775,
2011,0.3510305263157895,
2010,0.0,
2009,0.1461543654485051,8
2008,0.2476338174506032,
2007,0.0050211569684768,
2006,0.2430773684210527,
2005,0.0,
2004,0.33398750395636,
2003,0.0,
2002,0.1762103610771115,7
2001,0.0,
2000,0.0,
1999,0.2315540199335549,
1998,0.2332277894736842,
1997,0.0825360000000001,2
1996,0.0207484210526314,
1995,0.0,
1994,0.0552578803986711,6
1993,0.0,
1992,0.1111209700996677,
1991,0.0072887574750832,5
1990,0.1772228372093023,
1989,0.0,
1988,0.0,
1987,0.0,4
1986,0.0,
1985,0.3319000526315791,
1984,0.0,1
1983,0.0,
1982,0.0,
1981,0.2038876810631229,
