year,index,index_rank,badyear_rank,badyear_need,gap
2020,,,,,
2019,,,,,
2018,,,,,
2017,,,,,
2016,0.0926939991188133,11,,,
2015,0.1153169703647053,9,3,0.3363874930555555,0.2210705226908502
2014,,,,,
2013,0.1207978888888888,7,,,
2012,0.0959679477677775,10,,,
2011,0.0792944554455444,12,,,
2010,,,,,
2009,0.1577329935368537,5,8,0.1172934097222221,
2008,0.3504143122249723,2,,,
2007,0.0050211569684768,20,,,
2006,0.018370396039604,17,,,
2005,,,,,
2004,0.33398750395636,4,,,
2003,,,,,
2002,,,7,0.1207978888888888,0.1207978888888888
2001,,,,,
2000,0.0784954722222222,13,,,
1999,0.3363874930555555,3,,,
1998,0.0128117227722772,18,,,
1997,0.3933518019801981,1,2,0.3504143122249723,
1996,,,,,
1995,,,,,
1994,0.0050396527777777,19,6,0.138370396039604,0.13333074326182628
1993,,,,,
1992,0.0706268402777778,15,,,
1991,0.0679471111111111,16,5,0.1577329935368537,0.08978588242574259
1990,,,,,
1989,,,,,
1988,,,,,
1987,0.138370396039604,6,4,0.33398750395636,0.19561710791675602
1986,,,,,
1985,0.0712771883938392,14,,,
1984,0.1172934097222221,8,1,0.3933518019801981,0.276058392257976
1983,,,,,
1982,,,,,
1981,,,,,
"Average (including zeros, at badyear frequency)",0.048708394985116366,fraction covered:,0.46792511960268435,0.04870839498511636,0.025916513436050996
