year,index,badyear_rank
2024,0.0,
2023,0.0,
2022,0.0,
2021,0.0086991731799338,
2020,0.0498510878625606,
2019,0.0,
2018,0.0,
2017,0.0,
2016,0.0,
2015,0.0165638617494108,
2014,0.0,
2013,0.0,
2012,0.0,
2011,0.0,
2010,0.0402708105917584,
2009,0.0237079789775754,
2008,0.0157273091681868,
2007,0.0,
2006,0.0,
2005,0.0,
2004,0.0,
2003,0.0,
2002,0.0,
2001,0.0,
2000,0.0011936484062824,
1999,0.0343428316452862,
1998,0.0,
1997,0.0,
1996,0.047057725293039,
1995,0.0973431053184459,
1994,0.013882691488176,
1993,0.3577712609970674,
