year,Chadiza,Chasefu,Chibombo,Chikankanta,Chilanga,Chipangali,Chipata,Chirundu,Chisamba,Chitambo,Choma,Chongwe,Gwembe,Itezhi tezhi,Kabwe,Kafue,Kalabo,Kalomo,Kaoma,Kapiri Mposhi,Kasenengwa,Katete,Kazungula,Lavushimanda,Limulunga,Livingstone,Luampa,Luangwa,Luano,Lukulu,Lumezi,Lundazi,Lusaka,Lusangazi,Mambwe,Mazabuka,Mitete,Mkushi,Mongu,Monze,Mpongwe,Mulobezi,Mumbwa,Mwandi,Nalolo,Namwala,Ngabwe,Nkeyema,Nyimba,Pemba,Petauke,Rufunsa,Senanga,Serenje,Sesheke,Shangombo,Shibuyunji,Siavonga,Sikongo,Sinazongwe,Sinda,Sioma,Vubwi,Zimba,Average
1984,0.0,0.0,0.0,0.0,0.0,0.0,438.6132507324219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.1363830566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.9898376464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583.6441650390625,0.0,24.39661931991577
1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.2708740234375,0.0,281.5739440917969,0.0,0.0,0.0,0.0,0.0,0.0,305.2763671875,0.0,0.0,0.0,630.047119140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.1253814697266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.6646118164062,0.0,0.0,0.0,0.0,0.0,294.9707336425781,0.0,339.7559814453125,39.65132832527161
1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.1679992675781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.2426452636719,0.0,0.0,0.0,0.0,0.0,8.397041320800781
1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.4725036621094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.3615875244141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.7496948242188,0.0,0.0,0.0,432.6813354492188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.67601752281189
1988,0.0,0.0,372.7529296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.4573974609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.7661743164062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.2498168945312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.8478088378906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.93865823745728
1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.4065551757812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.084477424621582
1990,426.2730712890625,234.8763885498047,0.0,0.0,0.0,162.7785034179688,0.0,0.0,0.0,277.3529968261719,0.0,264.8421936035156,354.8543395996094,619.9799194335938,0.0,0.0,822.2460327148438,0.0,0.0,0.0,387.9457397460938,0.0,358.5122985839844,807.2805786132812,560.7828979492188,0.0,483.3315124511719,0.0,0.0,0.0,403.3289794921875,0.0,0.0,0.0,199.4542083740234,396.402587890625,458.1578979492188,0.0,819.0030517578125,574.4243774414062,361.5602416992188,530.97802734375,514.9178466796875,390.2391967773438,805.3194580078125,604.2946166992188,414.6072692871094,0.0,0.0,0.0,0.0,0.0,712.1375122070312,247.2597045898438,600.2423095703125,590.2493896484375,0.0,0.0,578.5311889648438,0.0,0.0,467.9455261230469,292.1893310546875,0.0,245.660924911499
1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865.5197143554688,0.0,329.7821350097656,778.5851440429688,321.1298217773438,0.0,0.0,478.3602600097656,410.9680480957031,0.0,0.0,0.0,449.6666870117188,259.7241516113281,0.0,0.0,402.1812133789062,0.0,0.0,532.7086181640625,0.0,0.0,0.0,0.0,0.0,554.604248046875,0.0,0.0,0.0,1046.495483398438,0.0,427.2392883300781,678.816650390625,0.0,0.0,541.3719482421875,0.0,410.7554321289062,0.0,550.4431762695312,0.0,0.0,0.0,0.0,0.0,0.0,421.0103454589844,0.0,0.0,270.7806396484375,0.0,0.0,0.0,510.765380859375,160.0141935348511
1992,666.9767456054688,423.9438171386719,0.0,0.0,0.0,707.7731323242188,599.05859375,0.0,0.0,392.4032592773438,787.9769287109375,0.0,0.0,442.6392517089844,0.0,0.0,0.0,624.8917236328125,0.0,0.0,675.2843627929688,675.1726684570312,993.7242431640625,0.0,0.0,681.4520263671875,0.0,837.7152099609375,0.0,0.0,557.911376953125,440.1508178710938,0.0,0.0,851.5776977539062,0.0,0.0,188.3622283935547,0.0,754.158447265625,0.0,0.0,0.0,621.9253540039062,0.0,621.0974731445312,294.7759094238281,0.0,735.3621826171875,658.06591796875,0.0,0.0,0.0,387.2914733886719,574.3839721679688,0.0,0.0,0.0,0.0,1028.56640625,604.6227416992188,0.0,504.5087280273438,684.280029296875,281.5008237361908
1993,0.0,0.0,0.0,0.0,0.0,248.7803649902344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.7373962402344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.4055023193359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2956759929657
