year,index,index_rank,badyearfarmer_rank,badyear_need,index_gap,yield,yield_rank,yield_pay,yield_gap,forecast_rank
1984,,,,,,,,,,
1985,,,,,,,,,,
1986,,,,,,,,,,
1987,,,,,,,,,,
1988,,,,,,,,,,
1989,,,,,,,,,,
1990,,,,,,,,,,
1991,,,,,,,,,,
1992,,,,,,,,,,
1993,,,,,,,,,,
1994,,,,,,,,,,
1995,,,,,,,,,,
1996,,,,,,,,,,
1997,,,,,,,,,,
1998,,,,,,,,,,
1999,,,,,,,,,,
2000,,,,,,,,,,
2001,,,,,,,,,,
2002,,,,,,,,,,
2003,,,,,,,,,,
2004,,,,,,,,,,
2005,,,,,,,,,,
2006,,,,,,,,,,
2007,,,,,,,,,,
2008,,,,,,,,,,
2009,,,,,,,,,,
2010,,,,,,,,,,
2011,,,,,,,,,,
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,,,,,,,,,,
2015,,,,,,,,,,
2016,,,,,,,,,,
2017,,,,,,,,,,
2018,,,,,,,,,,
2019,,,,,,,,,,
2020,,,,,,,,,,
2021,,,,,,,,,,
Average,,,,,,,,,,
Value at Risk (Approximate with Biggest Gap),,,,,,,,,,
Premium,,,,,,,,,,
,,,,,,,,,,
Placename:,PLACE,,,,,,,,,
,,,,,,,,,,
STUDENT EXERCISE INSTRUCTIONS,,,,,,,,,,
Step 0: Enter place name above,,,,,,,,,,
Step 1: Calculate 'index_rank',,,,,,,,,,
 - Assign a rank to every positive payout in the 'index' column (largest is 1).,,,,,,,,,,
" - If payouts are tied, give them the same number, then skip a number for the next rank.",,,,,,,,,,
" - (e.g., if there is a tie for 2nd place, ranks would be 1, 2, 2, 4).",,,,,,,,,,
Step 2: Calculate 'badyear_need',,,,,,,,,,
" - For each row with a 'badyear_rank', find the row where 'index_rank' matches that number.",,,,,,,,,,
 - Copy the 'index' (payout) value from that rank into the 'badyear_need' cell.,,,,,,,,,,
Step 3: Calculate 'gap',,,,,,,,,,
 - Subtract 'index' from 'badyear_need' (Gap = Need - Index).,,,,,,,,,,
" - If the result is negative or zero, leave the cell blank.",,,,,,,,,,
Step 4: Yields - repeat 1-3 for yield data,,,,,,,,,,
Step 5: Enter ranks of 5 strongest drought forecasts,,,,,,,,,,
"Step 6:  For Index, Yield, Gap, Calcuate Averages, Enter Biggest Gaps",,,,,,,,,,
Step 7: Calculate premium at 8% cost of capital (Premium = Expected Payout + [ Cost of Capital * (Value at Risk Ð Expected Payout)]),,,,,,,,,,
