year,index,index_rank,badyear_rank,badyear_need,gap
2020,,,,,
2019,,,,,
2018,,,,,
2017,,,,,
2016,0.0926939991188133,,,,
2015,0.1153169703647053,,3,,
2014,,,,,
2013,,,,,
2012,0.0959679477677775,,,,
2011,0.0792944554455444,,,,
2010,,,,,
2009,0.2258760094918585,,8,,
2008,0.0369934030766711,,,,
2007,0.0050211569684768,,,,
2006,0.018370396039604,,,,
2005,,,,,
2004,0.33398750395636,,,,
2003,0.0259929338842975,,,,
2002,0.1073955371900828,,7,,
2001,,,,,
2000,,,,,
1999,0.2985305785123967,,,,
1998,0.0128117227722772,,,,
1997,0.3933518019801981,,2,,
1996,,,,,
1995,,,,,
1994,0.0973443057851241,,6,,
1993,,,,,
1992,0.0656040082644627,,,,
1991,0.0024791570247934,,5,,
1990,0.1415140330578512,,,,
1989,,,,,
1988,,,,,
1987,0.138370396039604,,4,,
1986,,,,,
1985,0.0684980495049504,,,,
1984,,,1,,
1983,,,,,
1982,,,,,
1981,0.1713631818181818,,,,

STUDENT EXERCISE INSTRUCTIONS
Step 1: Calculate 'index_rank'
 - Assign a rank to every positive payout in the 'index' column (largest is 1).
" - If payouts are tied, give them the same number, then skip a number for the next rank."
" - (e.g., if there is a tie for 2nd place, ranks would be 1, 2, 2, 4)."
Step 2: Calculate 'badyear_need'
" - For each row with a 'badyear_rank', find the row where 'index_rank' matches that number."
 - Copy the 'index' (payout) value from that rank into the 'badyear_need' cell.
Step 3: Calculate 'gap'
 - Subtract 'index' from 'badyear_need' (Gap = Need - Index).
" - If the result is negative or zero, leave the cell blank."
