year,index,index_rank,badyear_rank,badyear_need,gap
2020,,,,,
2019,,,,,
2018,,,,,
2017,,,,,
2016,0.0926939991188133,15,,,
2015,0.1153169703647053,12,3,0.3319000526315791,0.21658308226687384
2014,,,,,
2013,,,,,
2012,0.0959679477677775,14,,,
2011,0.3510305263157895,1,,,
2010,,,,,
2009,0.1461543654485051,11,8,0.2038876810631229,0.05773331561461781
2008,0.2476338174506032,4,,,
2007,0.0050211569684768,20,,,
2006,0.2430773684210527,5,,,
2005,,,,,
2004,0.33398750395636,2,,,
2003,,,,,
2002,0.1762103610771115,10,7,0.2315540199335549,0.055343658856443406
2001,,,,,
2000,,,,,
1999,0.2315540199335549,7,,,
1998,0.2332277894736842,6,,,
1997,0.0825360000000001,16,2,0.33398750395636,0.2514515039563599
1996,0.0207484210526314,18,,,
1995,,,,,
1994,0.0552578803986711,17,6,0.2332277894736842,0.1779699090750131
1993,,,,,
1992,0.1111209700996677,13,,,
1991,0.0072887574750832,19,5,0.2430773684210527,0.2357886109459695
1990,0.1772228372093023,9,,,
1989,,,,,
1988,,,,,
1987,,,4,0.2476338174506032,0.2476338174506032
1986,,,,,
1985,0.3319000526315791,3,,,
1984,,,1,0.3510305263157895,0.3510305263157895
1983,,,,,
1982,,,,,
1981,0.2038876810631229,8,,,
"Average (including zeros, at badyear frequency)",0.05440746898114367,fraction covered:,0.26777772688068274,0.05440746898114366,0.039838360612041754
