year,index,index_rank,badyear_rank,badyear_need,gap
2020,,,,,
2019,,,,,
2018,,,,,
2017,,,,,
2016,0.0926939991188133,,,,
2015,0.1153169703647053,,3,,
2014,,,,,
2013,,,,,
2012,0.0959679477677775,,,,
2011,0.3510305263157895,,,,
2010,,,,,
2009,0.1461543654485051,,8,,
2008,0.2476338174506032,,,,
2007,0.0050211569684768,,,,
2006,0.2430773684210527,,,,
2005,,,,,
2004,0.33398750395636,,,,
2003,,,,,
2002,0.1762103610771115,,7,,
2001,,,,,
2000,,,,,
1999,0.2315540199335549,,,,
1998,0.2332277894736842,,,,
1997,0.0825360000000001,,2,,
1996,0.0207484210526314,,,,
1995,,,,,
1994,0.0552578803986711,,6,,
1993,,,,,
1992,0.1111209700996677,,,,
1991,0.0072887574750832,,5,,
1990,0.1772228372093023,,,,
1989,,,,,
1988,,,,,
1987,,,4,,
1986,,,,,
1985,0.3319000526315791,,,,
1984,,,1,,
1983,,,,,
1982,,,,,
1981,0.2038876810631229,,,,

STUDENT EXERCISE INSTRUCTIONS
Step 1: Calculate 'index_rank'
 - Assign a rank to every positive payout in the 'index' column (largest is 1).
" - If payouts are tied, give them the same number, then skip a number for the next rank."
" - (e.g., if there is a tie for 2nd place, ranks would be 1, 2, 2, 4)."
Step 2: Calculate 'badyear_need'
" - For each row with a 'badyear_rank', find the row where 'index_rank' matches that number."
 - Copy the 'index' (payout) value from that rank into the 'badyear_need' cell.
Step 3: Calculate 'gap'
 - Subtract 'index' from 'badyear_need' (Gap = Need - Index).
" - If the result is negative or zero, leave the cell blank."
