year,index,index_rank,badyear_rank,badyear_need,gap
2020,,,,,
2019,,,,,
2018,,,,,
2017,0.0018427346938775,20,,,
2016,0.0926939991188133,13,,,
2015,0.1964495229357797,3,3,0.1964495229357797,
2014,,,,,
2013,,,,,
2012,0.0959679477677775,10,,,
2011,0.1702993486238529,5,,,
2010,,,,,
2009,0.0091144489795917,17,8,0.1217850275229359,0.1126705785433442
2008,,,,,
2007,0.0050211569684768,19,,,
2006,0.1217850275229359,8,,,
2005,,,,,
2004,0.33398750395636,1,,,
2003,,,,,
2002,0.0381093853211009,15,7,0.1265538395431565,0.0884444542220556
2001,,,,,
2000,,,,,
1999,,,,,
1998,0.016351469387755,16,,,
1997,,,2,0.27725807002434,0.27725807002434
1996,0.0058487614678901,18,,,
1995,,,,,
1994,,,6,0.1602761224489798,0.1602761224489798
1993,0.0950147959183674,11,,,
1992,0.0772575714285714,14,,,
1991,,,5,0.1702993486238529,0.1702993486238529
1990,0.0928334489795918,12,,,
1989,,,,,
1988,,,,,
1987,0.27725807002434,2,4,0.1708166938775511,
1986,,,,,
1985,0.1265538395431565,7,,,
1984,,,1,0.33398750395636,0.33398750395636
1983,0.1602761224489798,6,,,
1982,0.1708166938775511,4,,,
1981,0.1010234897959183,9,,,
"Average (including zeros, at badyear frequency)",0.038935653223323895,fraction covered:,0.26613785618070007,0.038935653223323895,0.02857340194547331
