year,index,badyear_rank
2020,0.0,
2019,0.0,
2018,0.0,
2017,0.0,
2016,0.0926939991188133,
2015,0.1153169703647053,3
2014,0.0,
2013,0.0,
2012,0.0959679477677775,
2011,0.0792944554455444,
2010,0.0,
2009,0.3330248824257428,8
2008,0.0324403261138612,
2007,0.0167087069684768,
2006,0.018370396039604,
2005,0.0,
2004,0.33398750395636,
2003,0.0,
2002,0.051718625,7
2001,0.0,
2000,0.0,
1999,0.3291868,
1998,0.0128117227722772,
1997,0.3933518019801981,2
1996,0.0,
1995,0.0,
1994,0.0535489999999999,6
1993,0.0,
1992,0.0804195,
1991,0.0250702875,5
1990,0.0059664125,
1989,0.0,
1988,0.0,
1987,0.138370396039604,4
1986,0.0,
1985,0.0684980495049504,
1984,0.1169117374999999,1
1983,0.0,
1982,0.0,
1981,0.0,
