year,index,index_rank,badyear_rank,badyear_need,gap
2020,,,,,
2019,,,,,
2018,,,,,
2017,,,,,
2016,0.0926939991188133,,,,
2015,0.261612477876106,,3,,
2014,,,,,
2013,,,,,
2012,0.0959679477677775,,,,
2011,0.4291927168141592,,,,
2010,,,,,
2009,0.1451176000000001,,8,,
2008,0.15879576094072,,,,
2007,0.0050211569684768,,,,
2006,,,,,
2005,0.132540743362832,,,,
2004,0.33398750395636,,,,
2003,,,,,
2002,0.3784961374712088,,7,,
2001,0.2559651504424778,,,,
2000,,,,,
1999,0.2781059945205479,,,,
1998,,,,,
1997,,,2,,
1996,0.298527318584071,,,,
1995,0.0232671238938053,,,,
1994,0.0769548547945205,,6,,
1993,,,,,
1992,0.1856912602739726,,,,
1991,0.0608499068493152,,5,,
1990,0.1461481479452055,,,,
1989,,,,,
1988,,,,,
1987,,,4,,
1986,,,,,
1985,0.3838806637168144,,,,
1984,,,1,,
1983,,,,,
1982,,,,,
1981,0.168137512328767,,,,

STUDENT EXERCISE INSTRUCTIONS
Step 1: Calculate 'index_rank'
 - Assign a rank to every positive payout in the 'index' column (largest is 1).
" - If payouts are tied, give them the same number, then skip a number for the next rank."
" - (e.g., if there is a tie for 2nd place, ranks would be 1, 2, 2, 4)."
Step 2: Calculate 'badyear_need'
" - For each row with a 'badyear_rank', find the row where 'index_rank' matches that number."
 - Copy the 'index' (payout) value from that rank into the 'badyear_need' cell.
Step 3: Calculate 'gap'
 - Subtract 'index' from 'badyear_need' (Gap = Need - Index).
" - If the result is negative or zero, leave the cell blank."
