year,index,index_rank,badyear_rank,badyear_need,gap
2020,,,,,
2019,,,,,
2018,,,,,
2017,0.127682056035845,,,,
2016,0.1636566377150419,,,,
2015,0.1601300472227263,,3,,
2014,,,,,
2013,,,,,
2012,0.1088131428571427,,,,
2011,0.1290542857142857,,,,
2010,,,,,
2009,0.2865827428571429,,8,,
2008,0.0109391428571427,,,,
2007,,,,,
2006,,,,,
2005,0.0071525714285714,,,,
2004,0.3020333313181419,,,,
2003,,,,,
2002,,,7,,
2001,,,,,
2000,,,,,
1999,,,,,
1998,0.1550827083969464,,,,
1997,0.3066622857142857,,2,,
1996,,,,,
1995,,,,,
1994,,,6,,
1993,0.0793841679389313,,,,
1992,0.053111709923664,,,,
1991,,,5,,
1990,0.1107693784078516,,,,
1989,,,,,
1988,,,,,
1987,0.6510129116684841,,4,,
1986,,,,,
1985,,,,,
1984,,,1,,
1983,0.1136727328244275,,,,
1982,0.1238273129770991,,,,
1981,0.128849496183206,,,,

STUDENT EXERCISE INSTRUCTIONS
Step 1: Calculate 'index_rank'
 - Assign a rank to every positive payout in the 'index' column (largest is 1).
" - If payouts are tied, give them the same number, then skip a number for the next rank."
" - (e.g., if there is a tie for 2nd place, ranks would be 1, 2, 2, 4)."
Step 2: Calculate 'badyear_need'
" - For each row with a 'badyear_rank', find the row where 'index_rank' matches that number."
 - Copy the 'index' (payout) value from that rank into the 'badyear_need' cell.
Step 3: Calculate 'gap'
 - Subtract 'index' from 'badyear_need' (Gap = Need - Index).
" - If the result is negative or zero, leave the cell blank."
