year,index,index_rank,badyear_rank,badyear_need,gap
2020,,,,,
2019,,,,,
2018,,,,,
2017,,,,,
2016,0.0926939991188133,,,,
2015,0.2115598369565216,,3,,
2014,,,,,
2013,,,,,
2012,0.0959679477677775,,,,
2011,,,,,
2010,,,,,
2009,0.2384210217391303,,8,,
2008,,,,,
2007,0.0050211569684768,,,,
2006,,,,,
2005,,,,,
2004,0.33398750395636,,,,
2003,,,,,
2002,0.0581273333333333,,7,,
2001,,,,,
2000,,,,,
1999,,,,,
1998,0.1268930399999999,,,,
1997,0.2555651086956522,,2,,
1996,,,,,
1995,,,,,
1994,0.0001337466666666,,6,,
1993,0.0692392133333334,,,,
1992,0.1206816799999999,,,,
1991,,,5,,
1990,0.3911487660869565,,,,
1989,0.08618288,,,,
1988,,,,,
1987,0.2269139673913043,,4,,
1986,,,,,
1985,0.11390576,,,,
1984,,,1,,
1983,,,,,
1982,0.1246722799999999,,,,
1981,0.3247540707246376,,,,

STUDENT EXERCISE INSTRUCTIONS
Step 1: Calculate 'index_rank'
 - Assign a rank to every positive payout in the 'index' column (largest is 1).
" - If payouts are tied, give them the same number, then skip a number for the next rank."
" - (e.g., if there is a tie for 2nd place, ranks would be 1, 2, 2, 4)."
Step 2: Calculate 'badyear_need'
" - For each row with a 'badyear_rank', find the row where 'index_rank' matches that number."
 - Copy the 'index' (payout) value from that rank into the 'badyear_need' cell.
Step 3: Calculate 'gap'
 - Subtract 'index' from 'badyear_need' (Gap = Need - Index).
" - If the result is negative or zero, leave the cell blank."
