year,index,index_rank,badyear_rank,badyear_need,gap
2020,,,,,
2019,,,,,
2018,,,,,
2017,0.1430698784808231,7,,,
2016,0.1643604856357775,4,,,
2015,0.202584771657408,3,3,0.202584771657408,
2014,,,,,
2013,,,,,
2012,0.006080097744361,19,,,
2011,0.1395686390977441,8,,,
2010,,,,,
2009,0.0811630241935482,11,8,0.1395686390977441,0.05840561490419591
2008,0.1562155282258064,5,,,
2007,0.0097497845336451,18,,,
2006,0.0998087819548873,10,,,
2005,,,,,
2004,0.2790881205126241,1,,,
2003,,,,,
2002,0.0810731892432695,12,7,0.1430698784808231,0.06199668923755358
2001,,,,,
2000,,,,,
1999,0.2626315080645161,2,,,
1998,,,,,
1997,,,2,0.2626315080645161,0.2626315080645161
1996,0.0047933458646614,20,,,
1995,,,,,
1994,0.0391667096774193,15,6,0.1489530927419355,0.10978638306451619
1993,,,,,
1992,0.1120406370967741,9,,,
1991,0.0147891451612903,17,5,0.1562155282258064,0.1414263830645161
1990,0.1489530927419355,6,,,
1989,,,,,
1988,0.0012782620967742,21,,,
1987,0.0653175338345863,14,4,0.1643604856357775,0.09904295180119119
1986,,,,,
1985,0.0801889624060149,13,,,
1984,,,1,0.2790881205126241,0.2790881205126241
1983,,,,,
1982,,,,,
1981,0.0390528064516128,16,,,
"Average (including zeros, at badyear frequency)",0.037411800610415866,fraction covered:,0.32349042672965084,0.037411800610415866,0.025309441266227826
