year,index,index_rank,badyear_rank,badyear_need,gap
2020,,,,,
2019,,,,,
2018,,,,,
2017,0.1430698784808231,,,,
2016,0.1643604856357775,,,,
2015,0.202584771657408,,3,,
2014,,,,,
2013,,,,,
2012,0.006080097744361,,,,
2011,0.1395686390977441,,,,
2010,,,,,
2009,0.0811630241935482,,8,,
2008,0.1562155282258064,,,,
2007,0.0097497845336451,,,,
2006,0.0998087819548873,,,,
2005,,,,,
2004,0.2790881205126241,,,,
2003,,,,,
2002,0.0810731892432695,,7,,
2001,,,,,
2000,,,,,
1999,0.2626315080645161,,,,
1998,,,,,
1997,,,2,,
1996,0.0047933458646614,,,,
1995,,,,,
1994,0.0391667096774193,,6,,
1993,,,,,
1992,0.1120406370967741,,,,
1991,0.0147891451612903,,5,,
1990,0.1489530927419355,,,,
1989,,,,,
1988,0.0012782620967742,,,,
1987,0.0653175338345863,,4,,
1986,,,,,
1985,0.0801889624060149,,,,
1984,,,1,,
1983,,,,,
1982,,,,,
1981,0.0390528064516128,,,,

STUDENT EXERCISE INSTRUCTIONS
Step 1: Calculate 'index_rank'
 - Assign a rank to every positive payout in the 'index' column (largest is 1).
" - If payouts are tied, give them the same number, then skip a number for the next rank."
" - (e.g., if there is a tie for 2nd place, ranks would be 1, 2, 2, 4)."
Step 2: Calculate 'badyear_need'
" - For each row with a 'badyear_rank', find the row where 'index_rank' matches that number."
 - Copy the 'index' (payout) value from that rank into the 'badyear_need' cell.
Step 3: Calculate 'gap'
 - Subtract 'index' from 'badyear_need' (Gap = Need - Index).
" - If the result is negative or zero, leave the cell blank."
