year,index,index_rank,badyear_rank,badyear_need,gap
2020,,,,,
2019,,,,,
2018,,,,,
2017,,,,,
2016,0.0926939991188133,11,,,
2015,0.1153169703647053,7,3,0.2596603943661972,0.14434342400149192
2014,,,,,
2013,,,,,
2012,0.0959679477677775,9,,,
2011,0.0792944554455444,12,,,
2010,,,,,
2009,0.1109564686933483,8,8,0.1109564686933483,
2008,0.0136461386138612,17,,,
2007,0.0050211569684768,20,,,
2006,0.018370396039604,16,,,
2005,,,,,
2004,0.33398750395636,2,,,
2003,6.94647887323e-05,22,,,
2002,0.0952653169014084,10,7,0.1153169703647053,0.020051653463296903
2001,,,,,
2000,,,,,
1999,0.0686542746478873,13,,,
1998,0.0128117227722772,18,,,
1997,0.3933518019801981,1,2,0.33398750395636,
1996,,,,,
1995,,,,,
1994,0.003428528169014,21,6,0.138370396039604,0.13494186787058998
1993,,,,,
1992,0.0667116690140846,15,,,
1991,,,5,0.1522730070422536,0.1522730070422536
1990,0.1943146267605633,4,,,
1989,0.1522730070422536,5,,,
1988,0.0122185915492957,19,,,
1987,0.138370396039604,6,4,0.1943146267605633,0.055944230720959304
1986,,,,,
1985,0.0684980495049504,14,,,
1984,,,1,0.3933518019801981,0.3933518019801981
1983,,,,,
1982,,,,,
1981,0.2596603943661972,3,,,
"Average (including zeros, at badyear frequency)",0.042455779230080745,fraction covered:,0.4695033270991759,0.042455779230080745,0.022522649626969746
