year,index,index_rank,badyear_rank,badyear_need,gap
2020,0.0765607034682203,,,,
2019,,,,,
2018,0.0772210544086204,,,,
2017,,,,,
2016,,,,,
2015,0.099845073658789,,3,,
2014,,,,,
2013,0.0842748663101604,,,,
2012,0.014625051206692,,,,
2011,0.0364211612903225,,,,
2010,,,,,
2009,0.2735313252371916,,8,,
2008,0.2938296363636364,,,,
2007,0.0051425779668895,,,,
2006,,,,,
2005,,,,,
2004,0.1870189532777885,,,,
2003,,,,,
2002,,,7,,
2001,,,,,
2000,,,,,
1999,0.3316089518716578,,,,
1998,0.0793112903225804,,,,
1997,,,2,,
1996,,,,,
1995,,,,,
1994,0.038047165775401,,6,,
1993,0.0473675322580647,,,,
1992,0.1541775187165776,,,,
1991,0.2033558609625668,,5,,
1990,0.0839819903225805,,,,
1989,,,,,
1988,,,,,
1987,0.2839243161290324,,4,,
1986,,,,,
1985,0.0153460741935482,,,,
1984,0.3308481176470588,,1,,
1983,,,,,
1982,0.0035808193548388,,,,
1981,,,,,

STUDENT EXERCISE INSTRUCTIONS
Step 1: Calculate 'index_rank'
 - Assign a rank to every positive payout in the 'index' column (largest is 1).
" - If payouts are tied, give them the same number, then skip a number for the next rank."
" - (e.g., if there is a tie for 2nd place, ranks would be 1, 2, 2, 4)."
Step 2: Calculate 'badyear_need'
" - For each row with a 'badyear_rank', find the row where 'index_rank' matches that number."
 - Copy the 'index' (payout) value from that rank into the 'badyear_need' cell.
Step 3: Calculate 'gap'
 - Subtract 'index' from 'badyear_need' (Gap = Need - Index).
" - If the result is negative or zero, leave the cell blank."
