year,index,index_rank,badyear_rank,badyear_need,gap
2020,,,,,
2019,,,,,
2018,,,,,
2017,0.0018427346938775,,,,
2016,0.0926939991188133,,,,
2015,0.1964495229357797,,3,,
2014,,,,,
2013,,,,,
2012,0.0959679477677775,,,,
2011,0.1702993486238529,,,,
2010,,,,,
2009,0.0091144489795917,,8,,
2008,,,,,
2007,0.0050211569684768,,,,
2006,0.1217850275229359,,,,
2005,,,,,
2004,0.33398750395636,,,,
2003,,,,,
2002,0.0381093853211009,,7,,
2001,,,,,
2000,,,,,
1999,,,,,
1998,0.016351469387755,,,,
1997,,,2,,
1996,0.0058487614678901,,,,
1995,,,,,
1994,,,6,,
1993,0.0950147959183674,,,,
1992,0.0772575714285714,,,,
1991,,,5,,
1990,0.0928334489795918,,,,
1989,,,,,
1988,,,,,
1987,0.27725807002434,,4,,
1986,,,,,
1985,0.1265538395431565,,,,
1984,,,1,,
1983,0.1602761224489798,,,,
1982,0.1708166938775511,,,,
1981,0.1010234897959183,,,,

STUDENT EXERCISE INSTRUCTIONS
Step 1: Calculate 'index_rank'
 - Assign a rank to every positive payout in the 'index' column (largest is 1).
" - If payouts are tied, give them the same number, then skip a number for the next rank."
" - (e.g., if there is a tie for 2nd place, ranks would be 1, 2, 2, 4)."
Step 2: Calculate 'badyear_need'
" - For each row with a 'badyear_rank', find the row where 'index_rank' matches that number."
 - Copy the 'index' (payout) value from that rank into the 'badyear_need' cell.
Step 3: Calculate 'gap'
 - Subtract 'index' from 'badyear_need' (Gap = Need - Index).
" - If the result is negative or zero, leave the cell blank."
