year,index,index_rank,badyear_rank,badyear_need,gap
2020,0.0870005235807921,,,,
2019,,,,,
2018,0.0161726760760935,,,,
2017,,,,,
2016,,,,,
2015,0.1349960406091368,,3,,
2014,,,,,
2013,,,,,
2012,0.0011592129764991,,,,
2011,0.040653502538071,,,,
2010,,,,,
2009,0.0675360792879101,,8,,
2008,0.0069962436548222,,,,
2007,,,,,
2006,0.0094183248730964,,,,
2005,,,,,
2004,0.1536297377955013,,,,
2003,6.94647887323e-05,,,,
2002,0.0952653169014084,,7,,
2001,,,,,
2000,,,,,
1999,0.0686542746478873,,,,
1998,0.0065684467005072,,,,
1997,0.2016676751269034,,2,,
1996,,,,,
1995,,,,,
1994,0.003428528169014,,6,,
1993,,,,,
1992,0.0667116690140846,,,,
1991,,,5,,
1990,0.1943146267605633,,,,
1989,0.1522730070422536,,,,
1988,0.0122185915492957,,,,
1987,0.0709411675126902,,4,,
1986,,,,,
1985,0.0351182893401012,,,,
1984,,,1,,
1983,,,,,
1982,,,,,
1981,0.2596603943661972,,,,

STUDENT EXERCISE INSTRUCTIONS
Step 1: Calculate 'index_rank'
 - Assign a rank to every positive payout in the 'index' column (largest is 1).
" - If payouts are tied, give them the same number, then skip a number for the next rank."
" - (e.g., if there is a tie for 2nd place, ranks would be 1, 2, 2, 4)."
Step 2: Calculate 'badyear_need'
" - For each row with a 'badyear_rank', find the row where 'index_rank' matches that number."
 - Copy the 'index' (payout) value from that rank into the 'badyear_need' cell.
Step 3: Calculate 'gap'
 - Subtract 'index' from 'badyear_need' (Gap = Need - Index).
" - If the result is negative or zero, leave the cell blank."
