year,index,badyear_rank
2020,0.0,
2019,0.0931468257406373,
2018,0.0,
2017,0.0,
2016,0.0405244435121724,
2015,0.0095883741007198,3
2014,0.0,
2013,0.3173665293085539,
2012,0.0,
2011,0.0,
2010,0.0448714782033271,
2009,0.1450192765629749,8
2008,0.0167226626203262,
2007,0.0,
2006,0.0054219928057552,
2005,0.0,
2004,0.0033417482014391,
2003,0.0,
2002,0.3853509854088562,7
2001,0.0,
2000,0.0,
1999,0.1778809014084507,
1998,0.0,
1997,0.0,2
1996,0.0,
1995,0.0,
1994,0.0398408507042253,6
1993,0.0,
1992,0.0635764281690141,
1991,0.0,5
1990,0.3078200971932317,
1989,0.0485789690140845,
1988,0.0,
1987,0.0,4
1986,0.0,
1985,0.0,
1984,0.0,1
1983,0.0,
1982,0.0,
1981,0.3606592961394267,
