year,index,index_rank,badyear_rank,badyear_need,gap
2020,,,,,
2019,,,,,
2018,,,,,
2017,,,,,
2016,0.0926939991188133,9,,,
2015,0.1153169703647053,7,3,0.3330248824257428,0.2177079120610375
2014,,,,,
2013,,,,,
2012,0.0959679477677775,8,,,
2011,0.0792944554455444,11,,,
2010,,,,,
2009,0.3330248824257428,3,8,0.0959679477677775,
2008,0.0324403261138612,15,,,
2007,0.0167087069684768,18,,,
2006,0.018370396039604,17,,,
2005,,,,,
2004,0.33398750395636,2,,,
2003,,,,,
2002,0.051718625,14,7,0.1153169703647053,0.0635983453647053
2001,,,,,
2000,,,,,
1999,0.3291868,4,,,
1998,0.0128117227722772,19,,,
1997,0.3933518019801981,1,2,0.33398750395636,
1996,,,,,
1995,,,,,
1994,0.0535489999999999,13,6,0.1169117374999999,0.0633627375
1993,,,,,
1992,0.0804195,10,,,
1991,0.0250702875,16,5,0.138370396039604,0.113300108539604
1990,0.0059664125,20,,,
1989,,,,,
1988,,,,,
1987,0.138370396039604,5,4,0.3291868,0.190816403960396
1986,,,,,
1985,0.0684980495049504,12,,,
1984,0.1169117374999999,6,1,0.3933518019801981,0.2764400644801982
1983,,,,,
1982,,,,,
1981,,,,,
"Average (including zeros, at badyear frequency)",0.046402951000859685,fraction covered:,0.5015265452143336,0.046402951000859685,0.023130639297648525
