year,index,index_rank,badyear_rank,badyear_need,gap
2020,,,,,
2019,,,,,
2018,,,,,
2017,,,,,
2016,0.0926939991188133,16,,,
2015,0.261612477876106,7,3,0.3784961374712088,0.11688365959510283
2014,,,,,
2013,,,,,
2012,0.0959679477677775,15,,,
2011,0.4291927168141592,1,,,
2010,,,,,
2009,0.1451176000000001,13,8,0.2559651504424778,0.11084755044247771
2008,0.15879576094072,11,,,
2007,0.0050211569684768,20,,,
2006,,,,,
2005,0.132540743362832,14,,,
2004,0.33398750395636,4,,,
2003,,,,,
2002,0.3784961374712088,3,7,0.261612477876106,
2001,0.2559651504424778,8,,,
2000,,,,,
1999,0.2781059945205479,6,,,
1998,,,,,
1997,,,2,0.3838806637168144,0.3838806637168144
1996,0.298527318584071,5,,,
1995,0.0232671238938053,19,,,
1994,0.0769548547945205,17,6,0.2781059945205479,0.2011511397260274
1993,,,,,
1992,0.1856912602739726,9,,,
1991,0.0608499068493152,18,5,0.298527318584071,0.23767741173475582
1990,0.1461481479452055,12,,,
1989,,,,,
1988,,,,,
1987,,,4,0.33398750395636,0.33398750395636
1986,,,,,
1985,0.3838806637168144,2,,,
1984,,,1,0.4291927168141592,0.4291927168141592
1983,,,,,
1982,,,,,
1981,0.168137512328767,10,,,
"Average (including zeros, at badyear frequency)",0.06549419908454364,fraction covered:,0.3077170683297566,0.06549419908454364,0.04534051614964244
