year,index,badyear_rank
2020,0.0,
2019,0.0,
2018,0.0,
2017,0.0,
2016,0.0926939991188133,
2015,0.261612477876106,3
2014,0.0,
2013,0.0,
2012,0.0959679477677775,
2011,0.4291927168141592,
2010,0.0,
2009,0.1451176000000001,8
2008,0.15879576094072,
2007,0.0050211569684768,
2006,0.0,
2005,0.132540743362832,
2004,0.33398750395636,
2003,0.0,
2002,0.3784961374712088,7
2001,0.2559651504424778,
2000,0.0,
1999,0.2781059945205479,
1998,0.0,
1997,0.0,2
1996,0.298527318584071,
1995,0.0232671238938053,
1994,0.0769548547945205,6
1993,0.0,
1992,0.1856912602739726,
1991,0.0608499068493152,5
1990,0.1461481479452055,
1989,0.0,
1988,0.0,
1987,0.0,4
1986,0.0,
1985,0.3838806637168144,
1984,0.0,1
1983,0.0,
1982,0.0,
1981,0.168137512328767,
