year,index,index_rank,badyear_rank,badyear_need,gap
2020,,,,,
2019,,,,,
2018,,,,,
2017,,,,,
2016,0.0926939991188133,9,,,
2015,0.1153169703647053,7,3,0.33398750395636,0.21867053359165473
2014,,,,,
2013,0.0914965761772853,10,,,
2012,0.0959679477677775,8,,,
2011,0.0792944554455444,11,,,
2010,,,,,
2009,0.151343243575327,5,8,0.0959679477677775,
2008,0.247335617838238,4,,,
2007,0.0635500101540724,14,,,
2006,0.018370396039604,17,,,
2005,,,,,
2004,0.33398750395636,3,,,
2003,,,,,
2002,,,7,0.1153169703647053,0.1153169703647053
2001,,,,,
2000,,,,,
1999,0.3355869750692521,2,,,
1998,0.0128117227722772,18,,,
1997,0.3933518019801981,1,2,0.3355869750692521,
1996,,,,,
1995,,,,,
1994,0.0038964709141274,19,6,0.138370396039604,0.1344739251254766
1993,,,,,
1992,0.0539332520775623,15,,,
1991,0.0493228310249307,16,5,0.151343243575327,0.10202041255039629
1990,0.0744389695290858,12,,,
1989,,,,,
1988,,,,,
1987,0.138370396039604,6,4,0.247335617838238,0.108965221798634
1986,,,,,
1985,0.0684980495049504,13,,,
1984,,,1,0.3933518019801981,0.3933518019801981
1983,,,,,
1982,,,,,
1981,,,,,
"Average (including zeros, at badyear frequency)",0.04528151141478655,fraction covered:,0.4077059091601205,0.04528151141478655,0.026819971635276624
