year,index,index_rank,badyear_rank,badyear_need,gap
2020,,,,,
2019,,,,,
2018,,,,,
2017,,,,,
2016,0.0926939991188133,12,,,
2015,0.1153169703647053,8,3,0.2528125917159763,0.13749562135127102
2014,,,,,
2013,,,,,
2012,0.0959679477677775,10,,,
2011,0.0792944554455444,14,,,
2010,,,,,
2009,0.0891022574257427,13,8,0.1153169703647053,0.026214712938962603
2008,0.0136461386138612,19,,,
2007,0.0050211569684768,20,,,
2006,0.018370396039604,18,,,
2005,,,,,
2004,0.33398750395636,2,,,
2003,,,,,
2002,0.0397579881656804,17,7,0.138370396039604,0.09861240787392359
2001,,,,,
2000,,,,,
1999,,,,,
1998,0.1136043618255316,9,,,
1997,0.3933518019801981,1,2,0.33398750395636,
1996,,,,,
1995,,,,,
1994,,,6,0.1577635169605718,0.1577635169605718
1993,0.0496206035502959,16,,,
1992,0.095279597633136,11,,,
1991,,,5,0.1598122248520709,0.1598122248520709
1990,0.1598122248520709,5,,,
1989,0.0646593609467456,15,,,
1988,,,,,
1987,0.138370396039604,7,4,0.1748226153846153,0.036452219345011305
1986,,,,,
1985,0.1577635169605718,6,,,
1984,,,1,0.3933518019801981,0.3933518019801981
1983,,,,,
1982,0.1748226153846153,4,,,
1981,0.2528125917159763,3,,,
"Average (including zeros, at badyear frequency)",0.04315594053135254,fraction covered:,0.41508486846181325,0.04315594053135254,0.025242562632550238
