year,index,badyear_rank
2020,0.0,
2019,0.0,
2018,0.0,
2017,0.0,
2016,0.0926939991188133,
2015,0.1153169703647053,3
2014,0.0,
2013,0.0,
2012,0.0959679477677775,
2011,0.0792944554455444,
2010,0.0,
2009,0.0891022574257427,8
2008,0.0136461386138612,
2007,0.0050211569684768,
2006,0.018370396039604,
2005,0.0,
2004,0.33398750395636,
2003,0.0,
2002,0.0397579881656804,7
2001,0.0,
2000,0.0,
1999,0.0,
1998,0.1136043618255316,
1997,0.3933518019801981,2
1996,0.0,
1995,0.0,
1994,0.0,6
1993,0.0496206035502959,
1992,0.095279597633136,
1991,0.0,5
1990,0.1598122248520709,
1989,0.0646593609467456,
1988,0.0,
1987,0.138370396039604,4
1986,0.0,
1985,0.1577635169605718,
1984,0.0,1
1983,0.0,
1982,0.1748226153846153,
1981,0.2528125917159763,
