year,index,index_rank,badyear_rank,badyear_need,gap
2020,,,,,
2019,,,,,
2018,,,,,
2017,0.127682056035845,10,,,
2016,0.1636566377150419,5,,,
2015,0.1601300472227263,6,3,0.3020333313181419,0.1419032840954156
2014,,,,,
2013,,,,,
2012,0.1088131428571427,14,,,
2011,0.1290542857142857,8,,,
2010,,,,,
2009,0.2865827428571429,4,8,0.1290542857142857,
2008,0.0109391428571427,17,,,
2007,,,,,
2006,,,,,
2005,0.0071525714285714,18,,,
2004,0.3020333313181419,3,,,
2003,,,,,
2002,,,7,0.1550827083969464,0.1550827083969464
2001,,,,,
2000,,,,,
1999,,,,,
1998,0.1550827083969464,7,,,
1997,0.3066622857142857,2,2,0.3066622857142857,
1996,,,,,
1995,,,,,
1994,,,6,0.1601300472227263,0.1601300472227263
1993,0.0793841679389313,15,,,
1992,0.053111709923664,16,,,
1991,,,5,0.1636566377150419,0.1636566377150419
1990,0.1107693784078516,13,,,
1989,,,,,
1988,,,,,
1987,0.6510129116684841,1,4,0.2865827428571429,
1986,,,,,
1985,,,,,
1984,,,1,0.6510129116684841,0.6510129116684841
1983,0.1136727328244275,12,,,
1982,0.1238273129770991,11,,,
1981,0.128849496183206,9,,,
"Average (including zeros, at badyear frequency)",0.05385537376517637,fraction covered:,0.4096292068067642,0.05385537376517637,0.03179463972746536
