year,index,badyear_rank
2020,0.0,
2019,0.0,
2018,0.0,
2017,0.127682056035845,
2016,0.1636566377150419,
2015,0.1601300472227263,3
2014,0.0,
2013,0.0,
2012,0.1088131428571427,
2011,0.1290542857142857,
2010,0.0,
2009,0.2865827428571429,8
2008,0.0109391428571427,
2007,0.0,
2006,0.0,
2005,0.0071525714285714,
2004,0.3020333313181419,
2003,0.0,
2002,0.0,7
2001,0.0,
2000,0.0,
1999,0.0,
1998,0.1550827083969464,
1997,0.3066622857142857,2
1996,0.0,
1995,0.0,
1994,0.0,6
1993,0.0793841679389313,
1992,0.053111709923664,
1991,0.0,5
1990,0.1107693784078516,
1989,0.0,
1988,0.0,
1987,0.6510129116684841,4
1986,0.0,
1985,0.0,
1984,0.0,1
1983,0.1136727328244275,
1982,0.1238273129770991,
1981,0.128849496183206,
