year,index,index_rank,badyear_rank,badyear_need,gap
2020,,,,,
2019,,,,,
2018,,,,,
2017,,,,,
2016,0.0926939991188133,9,,,
2015,0.1153169703647053,6,3,0.2318544177777777,0.11653744741307241
2014,,,,,
2013,,,,,
2012,0.0959679477677775,8,,,
2011,0.0792944554455444,11,,,
2010,,,,,
2009,0.0891022574257427,10,8,0.0959679477677775,0.006865690342034811
2008,0.0136461386138612,17,,,
2007,0.0050211569684768,19,,,
2006,0.065737516039604,13,,,
2005,,,,,
2004,0.33398750395636,2,,,
2003,,,,,
2002,0.0454248888888888,14,7,0.0979884444444444,0.052563555555555606
2001,,,,,
2000,,,,,
1999,0.00456832,20,,,
1998,0.0128117227722772,18,,,
1997,0.3933518019801981,1,2,0.33398750395636,
1996,,,,,
1995,,,,,
1994,,,6,0.1153169703647053,0.1153169703647053
1993,,,,,
1992,0.0203568533333332,16,,,
1991,,,5,0.138370396039604,0.138370396039604
1990,0.1617308799999999,4,,,
1989,0.0979884444444444,7,,,
1988,,,,,
1987,0.138370396039604,5,4,0.1617308799999999,0.023360483960395917
1986,,,,,
1985,0.0684980495049504,12,,,
1984,,,1,0.3933518019801981,0.3933518019801981
1983,,,,,
1982,0.0246445422222221,15,,,
1981,0.2318544177777777,3,,,
"Average (including zeros, at badyear frequency)",0.03921420905827168,fraction covered:,0.4604211292405009,0.03921420905827168,0.021159158641389154
