year,index,index_rank,badyear_rank,badyear_need,gap
2020,,,,,
2019,,,,,
2018,,,,,
2017,,,,,
2016,0.0926939991188133,13,,,
2015,0.2115598369565216,7,3,0.3247540707246376,0.11319423376811596
2014,,,,,
2013,,,,,
2012,0.0959679477677775,12,,,
2011,,,,,
2010,,,,,
2009,0.2384210217391303,5,8,0.1268930399999999,
2008,,,,,
2007,0.0050211569684768,17,,,
2006,,,,,
2005,,,,,
2004,0.33398750395636,2,,,
2003,,,,,
2002,0.0581273333333333,16,7,0.2115598369565216,0.1534325036231883
2001,,,,,
2000,,,,,
1999,,,,,
1998,0.1268930399999999,8,,,
1997,0.2555651086956522,4,2,0.33398750395636,0.07842239526070782
1996,,,,,
1995,,,,,
1994,0.0001337466666666,18,6,0.2269139673913043,0.2267802207246377
1993,0.0692392133333334,15,,,
1992,0.1206816799999999,10,,,
1991,,,5,0.2384210217391303,0.2384210217391303
1990,0.3911487660869565,1,,,
1989,0.08618288,14,,,
1988,,,,,
1987,0.2269139673913043,6,4,0.2555651086956522,0.0286511413043479
1986,,,,,
1985,0.11390576,11,,,
1984,,,1,0.3911487660869565,0.3911487660869565
1983,,,,,
1982,0.1246722799999999,9,,,
1981,0.3247540707246376,3,,,
"Average (including zeros, at badyear frequency)",0.05273108288876406,fraction covered:,0.416828644927571,0.05273108288876406,0.03075125706267711
