year,index,badyear_rank
2020,0.0,
2019,0.0,
2018,0.0,
2017,0.0,
2016,0.0926939991188133,
2015,0.2115598369565216,3
2014,0.0,
2013,0.0,
2012,0.0959679477677775,
2011,0.0,
2010,0.0,
2009,0.2384210217391303,8
2008,0.0,
2007,0.0050211569684768,
2006,0.0,
2005,0.0,
2004,0.33398750395636,
2003,0.0,
2002,0.0581273333333333,7
2001,0.0,
2000,0.0,
1999,0.0,
1998,0.1268930399999999,
1997,0.2555651086956522,2
1996,0.0,
1995,0.0,
1994,0.0001337466666666,6
1993,0.0692392133333334,
1992,0.1206816799999999,
1991,0.0,5
1990,0.3911487660869565,
1989,0.08618288,
1988,0.0,
1987,0.2269139673913043,4
1986,0.0,
1985,0.11390576,
1984,0.0,1
1983,0.0,
1982,0.1246722799999999,
1981,0.3247540707246376,
