year,index,badyear_rank
2020,0.0,
2019,0.0,
2018,0.0,
2017,0.1430698784808231,
2016,0.1643604856357775,
2015,0.202584771657408,3
2014,0.0,
2013,0.0,
2012,0.006080097744361,
2011,0.1395686390977441,
2010,0.0,
2009,0.0811630241935482,8
2008,0.1562155282258064,
2007,0.0097497845336451,
2006,0.0998087819548873,
2005,0.0,
2004,0.2790881205126241,
2003,0.0,
2002,0.0810731892432695,7
2001,0.0,
2000,0.0,
1999,0.2626315080645161,
1998,0.0,
1997,0.0,2
1996,0.0047933458646614,
1995,0.0,
1994,0.0391667096774193,6
1993,0.0,
1992,0.1120406370967741,
1991,0.0147891451612903,5
1990,0.1489530927419355,
1989,0.0,
1988,0.0012782620967742,
1987,0.0653175338345863,4
1986,0.0,
1985,0.0801889624060149,
1984,0.0,1
1983,0.0,
1982,0.0,
1981,0.0390528064516128,
