year,index,index_rank,badyear_rank,badyear_need,gap
2020,,,,,
2019,,,,,
2018,0.0149855358600412,,,,
2017,,,,,
2016,0.0031749137633323,,,,
2015,0.0903802592397969,,3,,
2014,,,,,
2013,,,,,
2012,0.0668736575869237,,,,
2011,0.0462932947976878,,,,
2010,,,,,
2009,0.1510326006305832,,8,,
2008,0.0079668208092484,,,,
2007,,,,,
2006,0.0107249132947977,,,,
2005,,,,,
2004,0.2977717713924093,,,,
2003,,,,,
2002,,,7,,
2001,,,,,
2000,,,,,
1999,,,,,
1998,0.0074796763005781,,,,
1997,0.2296446936416186,,2,,
1996,,,,,
1995,,,,,
1994,,,6,,
1993,0.0201191287878789,,,,
1992,0.0135274318181817,,,,
1991,,,5,,
1990,0.1111980227272726,,,,
1989,,,,,
1988,,,,,
1987,0.2444021561569451,,4,,
1986,,,,,
1985,0.039990190751445,,,,
1984,,,1,,
1983,0.0443449242424243,,,,
1982,0.0482577121212122,,,,
1981,0.0347023560606061,,,,

STUDENT EXERCISE INSTRUCTIONS
Step 1: Calculate 'index_rank'
 - Assign a rank to every positive payout in the 'index' column (largest is 1).
" - If payouts are tied, give them the same number, then skip a number for the next rank."
" - (e.g., if there is a tie for 2nd place, ranks would be 1, 2, 2, 4)."
Step 2: Calculate 'badyear_need'
" - For each row with a 'badyear_rank', find the row where 'index_rank' matches that number."
 - Copy the 'index' (payout) value from that rank into the 'badyear_need' cell.
Step 3: Calculate 'gap'
 - Subtract 'index' from 'badyear_need' (Gap = Need - Index).
" - If the result is negative or zero, leave the cell blank."
