year,index,index_rank,badyear_rank,badyear_need,gap
2020,,,,,
2019,,,,,
2018,,,,,
2017,0.0033706845193677,,,,
2016,0.0842549706156999,,,,
2015,0.2528502272727272,,3,,
2014,,,,,
2013,,,,,
2012,0.191838409090909,,,,
2011,,,,,
2010,,,,,
2009,0.5046345996264009,,8,,
2008,,,,,
2007,,,,,
2006,,,,,
2005,,,,,
2004,0.4313253409090908,,,,
2003,,,,,
2002,,,7,,
2001,,,,,
2000,,,,,
1999,,,,,
1998,0.0109756438356163,,,,
1997,0.534363409090909,,2,,
1996,,,,,
1995,,,,,
1994,,,6,,
1993,0.0637770547945206,,,,
1992,0.0518578219178081,,,,
1991,,,5,,
1990,0.4758117266500623,,,,
1989,,,,,
1988,,,,,
1987,0.6070643676836861,,4,,
1986,,,,,
1985,0.0192701506849315,,,,
1984,,,1,,
1983,0.1075826027397261,,,,
1982,0.1146577808219179,,,,
1981,0.1233975603985056,,,,

STUDENT EXERCISE INSTRUCTIONS
Step 1: Calculate 'index_rank'
 - Assign a rank to every positive payout in the 'index' column (largest is 1).
" - If payouts are tied, give them the same number, then skip a number for the next rank."
" - (e.g., if there is a tie for 2nd place, ranks would be 1, 2, 2, 4)."
Step 2: Calculate 'badyear_need'
" - For each row with a 'badyear_rank', find the row where 'index_rank' matches that number."
 - Copy the 'index' (payout) value from that rank into the 'badyear_need' cell.
Step 3: Calculate 'gap'
 - Subtract 'index' from 'badyear_need' (Gap = Need - Index).
" - If the result is negative or zero, leave the cell blank."
