year,index,badyear_rank
2020,0.0,
2019,0.0,
2018,0.0,
2017,0.0,
2016,0.0926939991188133,
2015,0.1153169703647053,3
2014,0.0,
2013,0.0,
2012,0.0959679477677775,
2011,0.0792944554455444,
2010,0.0,
2009,0.1109564686933483,8
2008,0.0136461386138612,
2007,0.0050211569684768,
2006,0.018370396039604,
2005,0.0,
2004,0.33398750395636,
2003,6.94647887323e-05,
2002,0.0952653169014084,7
2001,0.0,
2000,0.0,
1999,0.0686542746478873,
1998,0.0128117227722772,
1997,0.3933518019801981,2
1996,0.0,
1995,0.0,
1994,0.003428528169014,6
1993,0.0,
1992,0.0667116690140846,
1991,0.0,5
1990,0.1943146267605633,
1989,0.1522730070422536,
1988,0.0122185915492957,
1987,0.138370396039604,4
1986,0.0,
1985,0.0684980495049504,
1984,0.0,1
1983,0.0,
1982,0.0,
1981,0.2596603943661972,
